Record Length,Analog:2800
Sample Interval,CH1:0.0000099999997 CH2:0.0000099999997
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:1.00 CH2:1.00,,,
Vertical Offset,CH1:0.12000 CH2:-0.62000,,,
Horizontal Units,us,,,
Horizontal Scale,5000.0000000000,,,
Model Number,T3DSO1204 ,,,
Serial Number,T0101C19080606,,,
Software Version,8.1.6.1.26,,,
Source,CH1,CH2
Second,Volt,Volt
 0.04200000000,-3.80000,-3.34000
 0.04201000000,-3.80000,-3.38000
 0.04202000000,-3.84000,-3.38000
 0.04203000000,-3.80000,-3.38000
 0.04204000000,-3.88000,-3.42000
 0.04205000000,-3.88000,-3.38000
 0.04206000000,-3.88000,-3.38000
 0.04207000000,-3.88000,-3.38000
 0.04208000000,-3.88000,-3.38000
 0.04209000000,-3.88000,-3.38000
 0.04210000000,-3.88000,-3.38000
 0.04211000000,-3.84000,-3.38000
 0.04212000000,-3.88000,-3.38000
 0.04213000000,-3.88000,-3.42000
 0.04214000000,-3.84000,-3.42000
 0.04215000000,-3.88000,-3.42000
 0.04216000000,-3.92000,-3.46000
 0.04217000000,-3.88000,-3.42000
 0.04218000000,-3.92000,-3.46000
 0.04219000000,-3.92000,-3.46000
 0.04220000000,-3.92000,-3.42000
 0.04221000000,-3.88000,-3.42000
 0.04222000000,-3.92000,-3.42000
 0.04223000000,-3.88000,-3.42000
 0.04224000000,-3.92000,-3.42000
 0.04225000000,-3.92000,-3.42000
 0.04226000000,-3.88000,-3.42000
 0.04227000000,-3.88000,-3.42000
 0.04228000000,-3.96000,-3.50000
 0.04229000000,-3.96000,-3.50000
 0.04230000000,-3.96000,-3.46000
 0.04231000000,-3.96000,-3.50000
 0.04232000000,-3.96000,-3.46000
 0.04233000000,-3.96000,-3.46000
 0.04234000000,-3.96000,-3.46000
 0.04235000000,-3.96000,-3.50000
 0.04236000000,-3.96000,-3.50000
 0.04237000000,-4.00000,-3.46000
 0.04238000000,-4.00000,-3.50000
 0.04239000000,-4.00000,-3.46000
 0.04240000000,-4.00000,-3.50000
 0.04241000000,-4.00000,-3.54000
 0.04242000000,-3.96000,-3.54000
 0.04243000000,-4.00000,-3.50000
 0.04244000000,-4.00000,-3.50000
 0.04245000000,-3.96000,-3.50000
 0.04246000000,-4.00000,-3.50000
 0.04247000000,-4.00000,-3.50000
 0.04248000000,-4.00000,-3.50000
 0.04249000000,-4.00000,-3.54000
 0.04250000000,-4.00000,-3.54000
 0.04251000000,-4.04000,-3.54000
 0.04252000000,-4.04000,-3.50000
 0.04253000000,-4.04000,-3.54000
 0.04254000000,-4.00000,-3.50000
 0.04255000000,-4.04000,-3.54000
 0.04256000000,-4.00000,-3.54000
 0.04257000000,-4.04000,-3.54000
 0.04258000000,-4.00000,-3.54000
 0.04259000000,-4.04000,-3.58000
 0.04260000000,-4.04000,-3.54000
 0.04261000000,-4.00000,-3.54000
 0.04262000000,-4.08000,-3.58000
 0.04263000000,-4.04000,-3.58000
 0.04264000000,-4.04000,-3.54000
 0.04265000000,-4.04000,-3.54000
 0.04266000000,-4.08000,-3.54000
 0.04267000000,-4.08000,-3.54000
 0.04268000000,-4.08000,-3.54000
 0.04269000000,-4.08000,-3.58000
 0.04270000000,-4.08000,-3.62000
 0.04271000000,-4.08000,-3.58000
 0.04272000000,-4.08000,-3.62000
 0.04273000000,-4.08000,-3.58000
 0.04274000000,-4.08000,-3.58000
 0.04275000000,-4.12000,-3.58000
 0.04276000000,-4.08000,-3.58000
 0.04277000000,-4.12000,-3.58000
 0.04278000000,-4.12000,-3.58000
 0.04279000000,-4.12000,-3.58000
 0.04280000000,-4.12000,-3.62000
 0.04281000000,-4.12000,-3.58000
 0.04282000000,-4.12000,-3.62000
 0.04283000000,-4.08000,-3.62000
 0.04284000000,-4.16000,-3.66000
 0.04285000000,-4.12000,-3.58000
 0.04286000000,-4.16000,-3.66000
 0.04287000000,-4.16000,-3.62000
 0.04288000000,-4.16000,-3.66000
 0.04289000000,-4.12000,-3.62000
 0.04290000000,-4.12000,-3.62000
 0.04291000000,-4.16000,-3.66000
 0.04292000000,-4.16000,-3.66000
 0.04293000000,-4.16000,-3.66000
 0.04294000000,-4.16000,-3.62000
 0.04295000000,-4.16000,-3.66000
 0.04296000000,-4.20000,-3.62000
 0.04297000000,-4.12000,-3.62000
 0.04298000000,-4.20000,-3.70000
 0.04299000000,-4.20000,-3.66000
 0.04300000000,-4.16000,-3.62000
 0.04301000000,-4.20000,-3.66000
 0.04302000000,-4.16000,-3.70000
 0.04303000000,-4.20000,-3.66000
 0.04304000000,-4.20000,-3.66000
 0.04305000000,-4.20000,-3.70000
 0.04306000000,-4.16000,-3.66000
 0.04307000000,-4.16000,-3.66000
 0.04308000000,-4.16000,-3.70000
 0.04309000000,-4.24000,-3.66000
 0.04310000000,-4.24000,-3.70000
 0.04311000000,-4.20000,-3.66000
 0.04312000000,-4.24000,-3.70000
 0.04313000000,-4.20000,-3.70000
 0.04314000000,-4.20000,-3.74000
 0.04315000000,-4.24000,-3.70000
 0.04316000000,-4.24000,-3.70000
 0.04317000000,-4.20000,-3.74000
