X,Y
-258,1.3599999999999999
-258,1.3599999999999999
-258,1.3599999999999999
-258,1.44
-258,1.44
-258,1.52
-258,1.52
-258,1.52
-258,1.52
-258,1.6
-258,1.6
-258,1.52
-258,1.52
-258,1.52
-258,1.52
-258,1.6
-258,1.6
-258,1.6
-258,1.68
-258,1.68
-258,1.76
-258,1.76
-258,1.76
-258,1.8399999999999999
-258,1.8399999999999999
-258,1.92
-262,1.92
-258,1.92
-258,1.92
-262,1.92
-262,2
-262,2
-262,2
-262,2
-262,2
-262,2
-262,2
-262,2.08
-262,2.08
-262,2.08
-262,2.16
-262,2.16
-262,2.16
-262,2.2399999999999998
-262,2.2399999999999998
-262,2.2399999999999998
-262,2.2399999999999998
-262,2.2399999999999998
-262,2.2399999999999998
-262,2.32
-262,2.32
-262,2.2399999999999998
-262,2.32
-262,2.32
-262,2.32
-262,2.32
-262,2.4
-262,2.4
-266,2.48
-266,2.56
-266,2.56
-266,2.48
-266,2.48
-266,2.56
-266,2.56
-266,2.56
-266,2.56
-266,2.56
-266,2.56
-266,2.64
-266,2.64
-266,2.64
-266,2.64
-266,2.64
-266,2.64
-266,2.64
-266,2.7199999999999998
-266,2.7199999999999998
-266,2.7199999999999998
-266,2.8000000000000003
-266,2.8000000000000003
-266,2.8000000000000003
-266,2.8000000000000003
-270,2.88
-266,2.88
-266,2.88
-266,2.88
-266,2.88
-270,2.88
-266,2.88
-266,2.96
-270,2.96
-270,2.96
-270,2.96
-270,3.04
-270,2.96
-270,3.04
-270,3.04
-270,3.04
-270,3.04
-270,3.04
-270,3.04
-270,3.04
-270,3.04
-270,3.04
-270,3.04
-274,3.1199999999999997
-270,3.1199999999999997
-274,3.1199999999999997
-270,3.1199999999999997
-274,3.1199999999999997
-270,3.1199999999999997
-270,3.1199999999999997
-270,3.1199999999999997
-270,3.1199999999999997
-270,3.1199999999999997
-270,3.2
-270,3.2
-270,3.2
-274,3.1199999999999997
-274,3.2
-270,3.2
-274,3.2
-274,3.2
-274,3.2
-274,3.2
-274,3.2800000000000002
-278,3.2800000000000002
-278,3.2
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-278,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2
-274,3.2800000000000002
-274,3.2
-274,3.2
-274,3.2
-274,3.2800000000000002
-274,3.2
-274,3.2
-274,3.2
-274,3.2800000000000002
-274,3.2800000000000002
-274,3.2800000000000002
-278,3.2800000000000002
-278,3.2800000000000002
-278,3.2800000000000002
-278,3.2800000000000002
-278,3.2800000000000002
-278,3.2800000000000002
-278,3.2800000000000002
-278,3.2
-278,3.2
-278,3.2800000000000002
-278,3.2
-278,3.2800000000000002
-278,3.2800000000000002
-278,3.2
-278,3.2
-278,3.2
-278,3.2
-278,3.2
-278,3.2
-278,3.2
-278,3.2
-278,3.2
-278,3.2
-278,3.1199999999999997
-282,3.2
-278,3.1199999999999997
-278,3.1199999999999997
-278,3.1199999999999997
-278,3.1199999999999997
-278,3.1199999999999997
-278,3.1199999999999997
-278,3.1199999999999997
-278,3.1199999999999997
-282,3.1199999999999997
-278,3.1199999999999997
-282,3.1199999999999997
-282,3.1199999999999997
-282,3.04
-282,3.1199999999999997
-282,3.04
-282,3.04
-282,2.96
-282,3.04
-282,3.04
-282,2.96
-282,2.96
-282,2.96
-286,2.96
-282,2.96
-286,2.96
-282,2.96
-282,2.96
-282,2.88
-282,2.88
-282,2.88
-282,2.88
-282,2.88
-282,2.8000000000000003
-282,2.8000000000000003
-282,2.8000000000000003
-282,2.7199999999999998
-282,2.7199999999999998
-282,2.7199999999999998
-282,2.7199999999999998
-282,2.7199999999999998
-286,2.7199999999999998
-282,2.7199999999999998
-286,2.7199999999999998
-286,2.64
-286,2.64
-286,2.64
-286,2.56
-286,2.64
-286,2.56
-286,2.56
-286,2.56
-286,2.48
-286,2.48
-286,2.4
-286,2.4
-286,2.4
-286,2.32
-286,2.32
